,l,d.corpu3
1,4,帝國牛排館  
2,2,  鍋媽媽
3,5,  麻辣鴨血
4,5,  炙 酒食廚房
5,4,  台北西華飯店
6,5,  職人燒肉丼店鋪
7,4,九品蓮花鍋  
8,4,  摸摸貓咖啡館
9,3,  添好運台灣1號店
10,9,  台北抹茶店
11,5,  小川台灣居酒館
12,5,  海人
13,2,  阿圖麻油雞
14,6,  中華一餅
15,5,  嘉新大樓
16,3,  愛新覺羅
17,9,  東一排骨總店
18,7,  甜蜜王國
19,8,  櫻之田野養生野菜鍋 九品蓮花鍋
20,5,  麻辣鴨血 瓦崎燒烤火鍋敦南店
21,14,  大福燒肉
22,7,  宸料理頂級日式料理
23,8,  旬采壽司
24,5,  光點華山珈琲時光
25,13,  木銅蔬
26,11,  歐華酒店 地中海牛肋排館
27,9,  木銅蔬
28,6,  鬼椒小火鍋
29,11,Honey Creme 蜂巢冰淇淋  
30,4,  開飯川食堂
31,8,  Double Like 雙倍喜歡
32,10,  TAN炭燒牛舌
33,5,  大佳牛雜湯
34,10,  Luv in Crepes 樂芙軟式可麗餅
35,10,微風建一食堂  
36,16,YES牛排洋食  
37,20,  添好運
38,14,  火龍島極品火鍋
39,8,  Focus Kitchen 肯恩廚房
40,6,  思慕昔 本館二樓
41,9,  福氣韓國炸雞
42,10,  日式愛好燒紅葉
43,5,  武吉屋台
44,7,  鐵板懷石染乃井
45,8,  大老爺私房菜
46,4,西華飯店美式頂級漢堡餐   台北西華飯店
47,6,和魚酒菜  
48,6,三多屋爸爸嘴  
49,9,  御野燒炭火燒肉
50,6,  Patisserie Sadaharu AOKI paris 旗艦店
51,10,  笑居樂食
52,9,高樂鐵板料理  
53,6,20鍋  
54,10,台北西華飯店  
55,12,  大和日本料理
56,13,  box巴克斯手工蛋餅專賣店
57,10,飯BAR  
58,11,美好年代  
59,9,  馥陽鍋貼水餃
60,5,丸壽司  
61,6,  登登廚房
62,9,  Second Floor Cafe 貳樓 微風台北車站
63,4,台北東區 蒙古紅蒙古火鍋   蒙古紅蒙古火鍋
64,7,  新美式景觀餐廳 Night Fever
65,6,  Fami 霜淇淋
66,6,  淡水滬尾豆花店
67,3,  畏公長生麻辣鍋
68,4,  天空之橋
69,5,  Tartine Bakery Taipei
70,3,  雅力根坊
71,2,  采吉軒紅豆專門店
72,3,  Uncle Laymen 雷蒙叔叔
73,7,新莊牛肉大王
74,3,新九九牛肉麵
75,7,Uncle Tetsu's Cheese cake
76,5,桐精緻石頭火鍋
77,5,香聚
78,8,鈺善閣．素．養生懷石
79,6,長崎強棒麵
80,15,築地平價日本料理
81,7,通記牛肉粉麵
82,14,SukiYa
83,9,笑居樂食
84,8,box巴克斯手工蛋餅專賣店
85,17,三朵花炭火燒肉
